ID,3BNC117,8ANC131,VRC03,CH103,2F5,VRC06,VRC-PG20,VRC-PG04,17b,PG16,VRC01,8ANC195,VRC-CH31,b12,b13,NIH45-46,10E8,VRC23,4E10,F105,PG9
HM215296,48.100,1.440,50,0.026,19.6,50,50,50,50,0.023,0.087,1.310,50,0.149,50,4.270,1.580,1.080,1.930,50,0.023
AY835437,6.540,50,50,3.740,1.35,50,50,50,50,50,50,0.227,50,50,50,50,0.143,50,0.895,50,50
EF117273,0.136,13.800,0.136,1.450,50,50,0.150,0.359,50,0.023,0.499,23.600,0.284,50,50,0.141,0.933,11.30,2.230,50,0.023
M93258,0.029,0.221,0.049,0.086,50,0.323,0.050,0.098,50,0.041,0.120,0.379,0.129,1.460,50,0.031,3.660,0.997,16.000,50,3.69
DQ411851,50,50,50,0.177,50,50,0.030,0.081,50,0.023,2.510,50,0.038,16.000,50,50,0.702,50,2.970,50,0.023
EU513197,0.007,2.180,50,0.029,13.2,50,50,0.057,50,0.102,0.022,0.446,0.044,50,50,0.215,0.842,9.960,3.110,50,0.097
EU855133,0.063,20.700,17.700,1.720,50,50,0.031,0.106,50,0.631,0.232,50,0.056,50,50,0.098,1.120,1.330,5.800,50,27.0
HM215254,50,50,50,0.203,50,50,50,50,50,0.023,1.030,50,50,0.159,50,0.308,2.000,50,0.886,50,0.091
AY835435,0.201,31.500,0.575,0.117,0.139,7.75,0.159,0.078,50,0.020,0.411,0.169,1.090,5.620,50,0.074,0.486,24.400,15.000,50,0.073
U52953,50,0.022,50,50,50,50,50,7.220,50,0.009,0.053,50,2.330,50,50,0.067,0.217,50,3.730,50,0.044
DQ411854,50,50,50,50,50,50,50,50,50,0.023,50,50,50,0.395,50,50,0.258,50,1.650,50,0.303
EF117271,0.100,3.670,0.073,2.580,50,6.35,1.370,0.745,50,0.023,0.336,2.780,0.162,50,50,0.202,0.048,50,0.376,50,0.038
EF117266,0.010,0.073,0.006,0.028,50,0.198,0.029,0.023,50,0.023,0.026,50,0.009,50,50,0.009,2.520,0.065,9.100,50,0.023
AY835448,2.800,19.700,50,2.680,50,50,17.600,50,34.200,0.975,5.770,50,37.900,0.962,50,1.880,0.324,50,1.770,50,15.0
AY835443,0.179,0.562,50,0.372,1.35,50,34.800,0.79,50,50,0.383,50,0.814,50,50,1.320,0.572,2.350,3.340,50,50
HM215420,0.066,14.500,0.078,50,1.09,28.0,0.046,0.126,49.300,50,0.315,0.088,0.055,16.600,50,0.182,0.069,1.200,0.156,50,50
AY713411,0.102,2.260,0.10,0.093,2.79,0.399,1.860,0.41,1.860,0.062,0.389,0.476,0.914,0.924,5.440,0.366,0.274,21.80,0.469,9.73,0.024
