ID,3TC,ABC,AZT,D4T,DDC,DDI,DLV,EFV,NVP,TDF,FTC
94867,32.0,1.1,2.0,0.7,1.3,1.4,228.8,725.1,255.6,3.9,33.1
94883,47.4,5.9,19.4,0.8,1.3,3.1,2.5,1.3,18.3,2.9,61.4
94891,4.8,2.1,5.9,1.3,1.2,2.0,177.0,562.1,108.6,2.8,6.2
94917,32.0,7.3,12.7,0.6,4.3,4.1,1.0,1.6,5.4,2.1,33.1
94943,3.4,1.8,2.1,0.7,1.0,1.6,164.2,603.3,122.0,0.8,2.0
94961,52.5,1.4,1.2,0.4,0.6,0.8,0.4,0.6,174.2,0.8,55.8
94965,1.0,0.7,0.6,1.1,1.2,0.6,1.6,0.7,0.5,0.7,1.9
94987,49.6,7.6,6.8,4.1,0.6,1.6,66.6,691.4,98.9,1.6,48.8
94989,32.0,2.1,3.3,0.7,0.8,0.8,70.1,725.1,255.6,3.4,33.1
94991,72.9,6.4,4.1,5.4,0.7,8.1,164.2,603.3,122.0,2.3,55.8
94999,7.7,3.0,149.4,4.9,1.4,2.1,5.9,41.9,87.9,4.2,6.0
95009,9.5,10.7,147.1,5.7,1.5,4.4,23.3,107.0,87.9,5.8,13.7
95013,49.6,7.5,3.2,0.8,1.4,2.0,169.0,511.3,98.9,3.1,48.8
95033,2.6,1.2,19.6,1.4,0.9,0.9,126.5,494.5,90.0,5.1,2.8
95035,4.2,4.8,47.9,3.5,3.0,2.6,132.9,572.3,75.4,7.9,24.0
95053,,1.0,0.8,0.7,0.7,0.7,164.2,603.3,122.0,0.9,2.3
95067,48.2,5.8,,1.5,0.9,2.5,161.0,688.3,76.3,1.7,51.1
95069,49.6,6.4,1.3,1.0,2.0,0.7,0.2,10.3,98.9,1.5,48.8
95071,38.5,3.1,,0.4,0.9,1.1,0.1,2.2,75.4,1.4,71.2
95075,36.2,5.9,3.9,1.6,6.1,1.8,1.0,391.6,88.4,1.8,36.4
95083,0.6,0.7,1.3,0.9,0.8,0.6,4.8,1.5,6.5,0.6,0.4
95089,32.0,1.9,1.7,1.0,2.2,2.0,228.8,9.7,255.6,1.2,33.1
95091,49.6,8.1,2.0,2.1,3.6,4.5,4.6,0.7,1.8,1.1,48.8
95097,49.6,8.8,8.3,2.2,1.7,2.2,0.3,0.7,1.8,2.7,48.8
95099,3.1,1.5,25.4,0.9,0.7,1.4,50.6,166.6,169.6,5.7,54.4
95101,49.6,6.1,9.5,0.8,1.4,0.9,1.1,1.1,0.4,2.3,48.8
95119,49.6,4.9,1.6,1.2,1.6,1.1,89.7,31.8,98.9,1.3,48.8
95121,4.4,5.1,98.8,4.5,0.9,1.0,132.9,61.9,75.4,12.2,
95123,,,,,,,,,,,3.5
95129,,,,,,,,,,,24.0
95141,1.8,0.9,2.0,0.6,1.3,0.5,57.1,688.3,76.3,2.3,4.5
95143,44.6,2.3,4.8,1.1,2.4,0.7,50.4,,116.9,0.9,33.1
95147,72.9,31.3,92.7,2.3,4.0,5.7,44.1,603.3,122.0,9.1,55.8
95171,48.2,3.4,0.7,0.6,0.4,1.2,0.8,0.7,1.8,4.0,51.1
95179,36.2,4.1,15.3,1.0,4.2,3.8,21.1,45.4,88.4,1.8,36.4
95181,32.0,1.3,3.0,1.9,2.6,2.6,228.8,725.1,255.6,2.5,33.1
95183,,,,,,,,,,,33.1
95193,47.4,10.5,1.3,1.0,2.2,1.6,180.0,532.4,118.9,0.9,61.4
95195,38.5,2.9,8.3,0.3,0.4,2.3,132.9,572.3,75.4,1.6,71.2
95197,0.9,0.9,0.8,0.4,0.6,0.6,0.3,0.8,1.0,0.6,1.4
95199,72.9,1.3,0.5,0.7,1.5,0.8,0.9,0.8,1.0,0.5,55.8
95216,7.5,4.9,7.2,1.5,2.8,1.0,0.9,0.7,0.5,3.6,6.3
95220,0.6,0.3,0.9,0.6,0.4,0.6,1.9,0.7,1.1,1.0,0.2
95222,49.6,64.4,56.2,,17.5,33.4,169.0,691.4,98.9,2.8,48.8
95228,47.4,32.1,9.5,2.3,4.1,5.8,180.0,8.7,118.9,2.4,61.4
95230,3.4,3.0,4.0,1.8,0.8,2.3,169.0,22.4,98.9,3.8,4.6
95238,61.4,22.7,0.7,0.9,2.7,2.2,288.6,626.3,105.1,1.2,68.2
95240,24.3,7.9,1.0,0.6,3.3,3.7,156.5,412.3,168.2,0.8,55.8
95242,38.5,11.4,3.8,1.2,1.6,1.0,132.9,572.3,75.4,1.2,71.2
95244,6.4,2.0,60.5,1.4,1.2,1.1,0.6,0.5,0.4,6.3,5.0
95246,24.4,2.1,5.3,7.8,5.1,4.0,0.5,0.5,4.5,3.6,55.8
95250,47.5,1.4,,0.9,1.3,0.8,2.1,67.9,90.0,3.0,46.0
95270,,17.3,131.0,4.3,3.2,3.8,2.0,,108.6,10.0,11.5
95278,32.0,2.4,6.3,1.9,1.0,1.7,228.8,725.1,255.6,1.4,33.1
95290,5.9,1.5,9.5,0.7,2.5,1.2,3.5,0.8,1.8,5.8,4.8
95312,47.4,4.1,1.4,1.7,1.7,1.9,163.1,532.4,118.9,1.0,61.4
95330,,,,,,,,,,,24.0
95332,32.0,1.5,3.1,0.8,1.6,1.2,2.7,0.7,1.1,1.1,33.1
95346,2.0,1.3,1.0,1.8,0.4,0.5,0.5,0.7,1.1,1.3,1.3
95352,,13.5,1.8,0.9,3.0,2.5,9.3,613.9,174.2,1.1,48.8
95354,49.6,4.2,5.7,2.3,1.7,1.6,169.0,691.4,98.9,5.3,48.8
95360,72.9,10.5,8.7,1.5,0.5,5.2,164.2,603.3,122.0,0.9,55.8
95362,1.0,1.1,6.7,0.3,0.2,0.5,132.9,572.3,75.4,1.4,1.5
95370,36.2,3.4,3.9,1.1,4.8,0.8,0.4,0.8,1.3,1.1,36.4
95374,3.4,0.4,11.2,0.7,0.2,0.3,169.0,,98.9,4.3,2.2
95396,1.1,1.2,8.9,1.8,0.8,0.7,4.0,59.0,98.9,1.8,4.1
95400,32.0,4.1,1.2,1.5,4.5,1.0,18.6,29.5,255.6,1.5,33.1
95404,7.2,44.0,139.9,13.1,2.7,6.0,1.3,0.9,2.4,4.1,10.7
95420,2.2,0.8,3.2,0.6,0.8,0.9,169.2,751.2,95.8,3.4,3.4
95424,3.9,3.3,6.9,1.4,1.8,1.0,2.3,27.1,122.0,2.9,1.5
95436,48.2,9.7,4.6,0.6,7.8,1.8,161.0,688.3,76.3,1.1,24.0
95456,7.7,4.1,109.9,3.1,4.0,4.2,9.5,32.7,118.9,6.8,25.0
95460,49.6,4.0,2.8,1.2,1.3,0.4,169.0,691.4,98.9,1.8,48.8
95464,29.5,1.8,1.4,0.7,1.7,2.3,96.8,19.0,87.2,1.1,24.0
95486,1.5,4.4,11.6,4.4,2.3,1.2,2.6,1.6,51.7,4.0,2.1
95494,4.9,3.6,25.8,2.7,2.5,2.3,1.1,0.9,3.4,5.4,6.5
95500,48.2,2.5,1.3,0.8,1.5,2.1,2.5,1.1,0.5,2.7,24.0
95502,48.2,5.0,1.7,0.6,2.7,0.6,0.2,1.0,0.5,2.3,51.1
95504,38.5,2.0,1.8,0.6,0.4,1.4,53.6,12.6,75.4,1.8,71.2
95520,1.0,1.7,4.9,0.9,1.3,0.8,228.8,11.5,255.6,2.8,1.0
95526,3.0,2.7,3.1,1.7,1.8,3.0,97.3,391.6,88.4,1.9,6.2
95528,4.5,0.8,7.0,2.3,4.4,1.5,132.9,572.3,75.4,1.8,2.5
95530,6.9,0.8,,8.4,3.6,1.7,156.5,412.3,169.6,3.1,6.0
95534,6.3,1.0,163.7,0.6,1.3,3.2,161.0,688.3,76.3,6.8,
95548,32.0,1.8,1.7,0.7,0.8,0.5,0.9,1.0,1.0,2.0,33.1
95550,44.6,9.2,,3.7,16.7,21.1,227.2,456.2,87.9,1.7,55.8
95554,,,,,,,,,,,55.8
95568,14.7,5.8,14.1,5.4,23.6,16.3,161.0,688.3,76.3,5.6,51.1
95570,38.5,4.0,11.1,28.6,,18.0,132.9,572.3,75.4,4.5,71.2
95584,36.2,3.6,1.2,0.8,3.8,3.0,1.0,391.6,88.4,1.0,36.4
95634,48.2,19.8,3.1,3.3,37.6,21.4,161.0,541.5,76.3,4.1,43.1
95646,34.1,0.5,0.7,0.6,2.0,0.6,0.2,0.7,0.3,0.2,44.6
95648,7.0,3.7,10.9,1.9,1.0,1.6,162.8,691.4,98.9,4.2,20.1
95652,8.0,2.4,10.5,3.1,2.5,4.0,13.5,1.0,90.0,2.4,13.7
95654,5.1,2.2,,0.7,0.9,2.3,11.2,0.4,139.0,3.6,36.3
95656,51.6,4.7,34.6,,3.3,4.3,24.4,1.7,67.2,3.9,85.1
95666,22.0,9.5,8.6,0.7,4.1,2.6,0.4,6.2,118.5,4.7,43.1
95670,48.2,17.3,1.0,0.6,6.1,3.1,161.0,688.3,76.3,0.9,51.1
95720,1.3,1.0,3.9,0.9,1.0,0.8,10.6,5.2,64.3,2.3,2.0
95722,47.4,37.5,35.4,17.5,25.4,40.9,180.0,236.2,118.9,11.4,61.4
95728,4.1,1.3,3.0,1.9,2.3,2.0,0.6,0.6,3.1,1.8,8.1
95740,72.9,18.2,19.6,3.3,1.8,3.5,61.6,26.5,122.0,0.9,24.0
95758,48.2,12.1,23.5,2.5,15.4,3.4,1.0,0.7,0.6,2.2,51.1
95772,23.3,26.9,25.8,3.3,6.0,3.4,15.8,13.9,88.4,18.2,36.4
95786,72.9,3.0,3.8,5.7,8.3,3.2,28.7,603.3,122.0,5.4,55.8
95794,72.9,4.6,1.3,3.4,6.6,3.7,0.8,0.6,2.4,0.9,55.8
95808,48.2,,3.5,1.6,2.3,2.0,76.1,688.3,76.3,1.7,51.1
95812,22.0,5.3,15.7,1.8,10.8,3.9,0.3,0.6,4.2,2.1,43.1
95816,49.6,7.3,156.0,0.3,3.5,4.0,0.3,0.7,3.0,6.2,41.0
95824,,5.1,34.1,1.0,1.8,1.2,14.1,73.3,76.3,4.4,4.3
95830,5.6,2.6,40.5,4.2,3.2,3.9,245.5,166.4,117.7,2.3,34.5
